text,category,vendor,taxable,grand_total
"==================================================
ORIGINAL FOR RECIPIENT - TAX INVOICE
==================================================
Supplier / Vendor: Ginger Hotels Corporate Stay
Address: Industrial Area, Gujarat, India
GSTIN: 24ZKPJN9129K3ZO | PAN: ZKPJN9129K
State / State Code: Gujarat (24)

Invoice No: GIN-80725
Invoice Date: 12/10/2026
Reverse Charge (RCM): No
Place of Supply: Gujarat (24)

Billed To / Recipient:
BillWise Enterprises Private Limited
GSTIN: 27AAACB1234F1Z5
State: Maharashtra (27)

--------------------------------------------------
LINE ITEMS & PARTICULARS
--------------------------------------------------
  Item: Business hotel accommodation 4 nights executive corporate room stay
  HSN/SAC: 996311 | Qty: 5 | Rate: INR 4,086.89 | Amount: INR 20,434.45

--------------------------------------------------
Subtotal / Taxable Value: INR 20,434.45
CGST (2.5%): INR 510.86
SGST (2.5%): INR 510.86
Total Tax Amount: INR 1,021.72
GRAND TOTAL (INCL. TAX): INR 21,456.17
--------------------------------------------------
Payment Terms: Net 30 Days | Mode: NEFT/RTGS
Bank Name: HDFC Bank | A/C: 502000656475 | IFSC: HDFC0001234
Authorized Signatory for Ginger Hotels Corporate Stay
==================================================",Travel & Conveyance,Ginger Hotels Corporate Stay,20434.45,21456.17
"==================================================
gst tax invoice
==================================================
supplier / vendor: microsoft azure cloud infrastructure
address: industrial area, telangana, india
gstin: 36hmqen4852b2zr | pan: hmqen4852b
state / state code: telangana (36)

invoice no: bill/36/28863
invoice date: 27/12/2026
reverse charge (rcm): no
place of supply: telangana (36)

billed to / recipient:
billwise enterprises private limited
gstin: 27aaacb1234f1z5
state: maharashtra (27)

--------------------------------------------------
line items & particulars
--------------------------------------------------
  item: google cloud platform bigquery analytics slots and cloud storage egress
  hsn/sac: 998313 | qty: 5 | rate: inr 9,646.57 | amount: inr 48,232.85
  item: dedicated cloud server hosting, load balancer setup & vpc peering bandwidth
  hsn/sac: 998313 | qty: 1 | rate: inr 31,000.00 | amount: inr 31,000.00

--------------------------------------------------
subtotal / taxable value: inr 79,232.85
igst (18%): inr 14,261.91
total tax amount: inr 14,261.91
grand total (incl. tax): inr 93,494.76
--------------------------------------------------
payment terms: net 30 days | mode: neft/rtgs
bank name: hdfc bank | a/c: 502000997665 | ifsc: hdfc0001234
authorized signatory for microsoft azure cloud infrastructure
==================================================",Cloud Infrastructure,Microsoft Azure Cloud Infrastructure,79232.85,93494.76
"==================================================
GST TAX INVOICE
==================================================
Supplier / Vendor: Madison World Media Communications
Address: Industrial Area, Telangana, India
GSTIN: 36HMUVF3169H2Z8 | PAN: HMUVF3169H
State / State Code: Telangana (36)

Invoice No: BILL/36/94380
Invoice Date: 07/05/2026
Reverse Charge (RCM): No
Place of Supply: Telangana (36)

Billed To / Recipient:
BillWise Enterprises Private Limited
GSTIN: 27AAACB1234F1Z5
State: Maharashtra (27)

--------------------------------------------------
LINE ITEMS & PARTICULARS
--------------------------------------------------
  Item: SEO search engine optimization monthly retainer & keyword link building
  HSN/SAC: 998363 | Qty: 10 | Rate: INR 4,756.51 | Amount: INR 47,565.10
  Item: Google Ads PPC search campaigns, display network clicks & remarketing
  HSN/SAC: 998361 | Qty: 5 | Rate: INR 16,104.78 | Amount: INR 80,523.90
  Item: Meta Facebook & Instagram sponsored video advertisements campaign
  HSN/SAC: 998361 | Qty: 2 | Rate: INR 26,637.65 | Amount: INR 53,275.30

--------------------------------------------------
Subtotal / Taxable Value: INR 181,364.30
IGST (18%): INR 32,645.57
Total Tax Amount: INR 32,645.57
GRAND TOTAL (INCL. TAX): INR 214,009.87
--------------------------------------------------
Payment Terms: Net 30 Days | Mode: NEFT/RTGS
Bank Name: HDFC Bank | A/C: 502000593240 | IFSC: HDFC0001234
Authorized Signatory for Madison World Media Communications
==================================================",Marketing & Advertising,Madison World Media Communications,181364.3,214009.87
"==================================================
TAX INVOICE
==================================================
Supplier / Vendor: Anand & Anand Intellectual Property Law
Address: Industrial Area, Maharashtra, India
GSTIN: 27CRWAK7031V4Z2 | PAN: CRWAK7031V
State / State Code: Maharashtra (27)

Invoice No: BILL/27/63805
Invoice Date: 18/01/2026
Reverse Charge (RCM): No
Place of Supply: Maharashtra (27)

Billed To / Recipient:
BillWise Enterprises Private Limited
GSTIN: 27AAACB1234F1Z5
State: Maharashtra (27)

--------------------------------------------------
LINE ITEMS & PARTICULARS
--------------------------------------------------
  Item: Legal opinion on contractual liability, IP trademark filing & advocate fee
  HSN/SAC: 998211 | Qty: 5 | Rate: INR 9,845.34 | Amount: INR 49,226.70
  Item: Transfer pricing documentation and corporate tax advisory retainer
  HSN/SAC: 998231 | Qty: 2 | Rate: INR 38,307.51 | Amount: INR 76,615.02

--------------------------------------------------
Subtotal / Taxable Value: INR 125,841.72
CGST (9.0%): INR 11,325.75
SGST (9.0%): INR 11,325.75
Total Tax Amount: INR 22,651.51
GRAND TOTAL (INCL. TAX): INR 148,493.23
--------------------------------------------------
Payment Terms: Net 30 Days | Mode: NEFT/RTGS
Bank Name: HDFC Bank | A/C: 502000750592 | IFSC: HDFC0001234
Authorized Signatory for Anand & Anand Intellectual Property Law
==================================================",Professional & Legal Services,Anand & Anand Intellectual Property Law,125841.72,148493.23
"==================================================
TAX INVOICE
==================================================
Supplier / Vendor: Neelgagan Paper & Forms
Address: Industrial Area, Delhi, India
GSTIN: 07XCEAN6739I3ZM | PAN: XCEAN6739I
State / State Code: Delhi (07)

Invoice No: BILL/07/19218
Invoice Date: 26/06/2026
Reverse Charge (RCM): No
Place of Supply: Delhi (07)

Billed To / Recipient:
BillWise Enterprises Private Limited
GSTIN: 27AAACB1234F1Z5
State: Maharashtra (27)

--------------------------------------------------
LINE ITEMS & PARTICULARS
--------------------------------------------------
  Item: Document filing folders, plastic poly pockets & box files 100 pcs
  HSN/SAC: 392610 | Qty: 9 | Rate: INR 528.67 | Amount: INR 4,758.03
  Item: JK Copier A4 Paper 75 GSM 50 Reams bulk box supply
  HSN/SAC: 480256 | Qty: 2 | Rate: INR 5,351.78 | Amount: INR 10,703.56
  Item: Custom printed letterheads, corporate envelopes & ID card lanyards
  HSN/SAC: 491110 | Qty: 7 | Rate: INR 1,123.66 | Amount: INR 7,865.62

--------------------------------------------------
Subtotal / Taxable Value: INR 23,327.21
IGST (18%): INR 4,198.90
Total Tax Amount: INR 4,198.90
GRAND TOTAL (INCL. TAX): INR 27,526.11
--------------------------------------------------
Payment Terms: Net 30 Days | Mode: NEFT/RTGS
Bank Name: HDFC Bank | A/C: 502000544667 | IFSC: HDFC0001234
Authorized Signatory for Neelgagan Paper & Forms
==================================================",Office Supplies & Stationery,Neelgagan Paper & Forms,23327.21,27526.11
"==================================================
ORIGINAL FOR RECIPIENT - TAX INVOICE
==================================================
Supplier / Vendor: Notion Labs Workspace Software
Address: Industrial Area, Gujarat, India
GSTIN: 24WUNYX5023I3ZT | PAN: WUNYX5023I
State / State Code: Gujarat (24)

Invoice No: TAX/26-27/936
Invoice Date: 24/04/2026
Reverse Charge (RCM): No
Place of Supply: Gujarat (24)

Billed To / Recipient:
BillWise Enterprises Private Limited
GSTIN: 27AAACB1234F1Z5
State: Maharashtra (27)

--------------------------------------------------
LINE ITEMS & PARTICULARS
--------------------------------------------------
  Item: Jira Software Premium & Confluence Cloud Annual Subscription 50 seats
  HSN/SAC: 998315 | Qty: 8 | Rate: INR 21,937.23 | Amount: INR 175,497.84
  Item: Figma Organization tier design system license 10 editors
  HSN/SAC: 998315 | Qty: 1 | Rate: INR 28,000.00 | Amount: INR 28,000.00
  Item: GitHub Enterprise Cloud annual license per seat renewal
  HSN/SAC: 998315 | Qty: 6 | Rate: INR 14,491.67 | Amount: INR 86,950.02

--------------------------------------------------
Subtotal / Taxable Value: INR 290,447.86
CGST (14.0%): INR 40,662.70
SGST (14.0%): INR 40,662.70
Total Tax Amount: INR 81,325.40
GRAND TOTAL (INCL. TAX): INR 371,773.26
--------------------------------------------------
Payment Terms: Net 30 Days | Mode: NEFT/RTGS
Bank Name: HDFC Bank | A/C: 502000980690 | IFSC: HDFC0001234
Authorized Signatory for Notion Labs Workspace Software
==================================================",Software & Subscriptions,Notion Labs Workspace Software,290447.86,371773.26
"==================================================
TAX INVOICE
==================================================
Supplier / Vendor: Apex Industrial Raw Materials Pvt Ltd
Address: Industrial Area, Tamil Nadu, India
GSTIN: 33RUYNV9049T1ZO | PAN: RUYNV9049T
State / State Code: Tamil Nadu (33)

Invoice No: TAX/25-26/194
Invoice Date: 11/01/2026
Reverse Charge (RCM): No
Place of Supply: Tamil Nadu (33)

Billed To / Recipient:
BillWise Enterprises Private Limited
GSTIN: 27AAACB1234F1Z5
State: Maharashtra (27)

--------------------------------------------------
LINE ITEMS & PARTICULARS
--------------------------------------------------
  Item: Acetic Acid Glacial industrial solvent bulk drum
  HSN/SAC: 2915 | Qty: 5 | Rate: INR 8,301.64 | Amount: INR 41,508.20

--------------------------------------------------
Subtotal / Taxable Value: INR 41,508.20
CGST (14.0%): INR 5,811.15
SGST (14.0%): INR 5,811.15
Total Tax Amount: INR 11,622.30
GRAND TOTAL (INCL. TAX): INR 53,130.50
--------------------------------------------------
Payment Terms: Net 30 Days | Mode: NEFT/RTGS
Bank Name: HDFC Bank | A/C: 502000381559 | IFSC: HDFC0001234
Authorized Signatory for Apex Industrial Raw Materials Pvt Ltd
==================================================",Raw Materials,Apex Industrial Raw Materials Pvt Ltd,41508.2,53130.5
"==================================================
ORIGINAL FOR RECIPIENT - TAX INVOICE
==================================================
Supplier / Vendor: Ernst & Young LLP Assurance Services
Address: Industrial Area, Maharashtra, India
GSTIN: 27AOAVC9496K1ZW | PAN: AOAVC9496K
State / State Code: Maharashtra (27)

Invoice No: TAX/26-26/618
Invoice Date: 23/05/2026
Reverse Charge (RCM): No
Place of Supply: Maharashtra (27)

Billed To / Recipient:
BillWise Enterprises Private Limited
GSTIN: 27AAACB1234F1Z5
State: Maharashtra (27)

--------------------------------------------------
LINE ITEMS & PARTICULARS
--------------------------------------------------
  Item: Patent search, prior art assessment & provisional patent application filing
  HSN/SAC: 998211 | Qty: 5 | Rate: INR 9,209.72 | Amount: INR 46,048.60
  Item: Management consulting fee for operational process restructuring & ESG audit
  HSN/SAC: 998311 | Qty: 5 | Rate: INR 32,574.17 | Amount: INR 162,870.85

--------------------------------------------------
Subtotal / Taxable Value: INR 208,919.45
IGST (5%): INR 10,445.97
Total Tax Amount: INR 10,445.97
GRAND TOTAL (INCL. TAX): INR 219,365.42
--------------------------------------------------
Payment Terms: Net 30 Days | Mode: NEFT/RTGS
Bank Name: HDFC Bank | A/C: 502000800652 | IFSC: HDFC0001234
Authorized Signatory for Ernst & Young LLP Assurance Services
==================================================",Professional & Legal Services,Ernst & Young LLP Assurance Services,208919.45,219365.42
"==================================================
TAX INVOICE
==================================================
Supplier / Vendor: Mahanagar Gas Limited
Address: Industrial Area, Telangana, India
GSTIN: 36IKLBM5430U1Z2 | PAN: IKLBM5430U
State / State Code: Telangana (36)

Invoice No: GST/5425/2026
Invoice Date: 02/10/2026
Reverse Charge (RCM): No
Place of Supply: Telangana (36)

Billed To / Recipient:
BillWise Enterprises Private Limited
GSTIN: 27AAACB1234F1Z5
State: Maharashtra (27)

--------------------------------------------------
LINE ITEMS & PARTICULARS
--------------------------------------------------
  Item: Data center dark fiber point-to-point leased connectivity monthly tariff
  HSN/SAC: 998411 | Qty: 8 | Rate: INR 6,155.21 | Amount: INR 49,241.68
  Item: Commercial high tension electricity tariff consumption 8500 units billing
  HSN/SAC: 996911 | Qty: 1 | Rate: INR 62,000.00 | Amount: INR 62,000.00
  Item: Municipal commercial water tanker & wastewater pipeline utility cess
  HSN/SAC: 996912 | Qty: 8 | Rate: INR 826.62 | Amount: INR 6,612.96

--------------------------------------------------
Subtotal / Taxable Value: INR 117,854.64
CGST (2.5%): INR 2,946.36
SGST (2.5%): INR 2,946.36
Total Tax Amount: INR 5,892.73
GRAND TOTAL (INCL. TAX): INR 123,747.37
--------------------------------------------------
Payment Terms: Net 30 Days | Mode: NEFT/RTGS
Bank Name: HDFC Bank | A/C: 502000728807 | IFSC: HDFC0001234
Authorized Signatory for Mahanagar Gas Limited
==================================================",Utilities,Mahanagar Gas Limited,117854.64,123747.37
"==================================================
commercial tax invoice
==================================================
supplier / vendor: torrent power limited commercial
address: industrial area, haryana, india
gstin: 06lybpg1676a4z0 | pan: lybpg1676a
state / state code: haryana (06)

invoice no: bill/06/55540
invoice date: 26/07/2026
reverse charge (rcm): no
place of supply: haryana (06)

billed to / recipient:
billwise enterprises private limited
gstin: 27aaacb1234f1z5
state: maharashtra (27)

--------------------------------------------------
line items & particulars
--------------------------------------------------
  item: commercial high tension electricity tariff consumption 8500 units billing
  hsn/sac: 996911 | qty: 5 | rate: inr 16,927.52 | amount: inr 84,637.60
  item: three-phase industrial electric power meter fixed capacity & fuel surcharge
  hsn/sac: 996911 | qty: 5 | rate: inr 14,349.18 | amount: inr 71,745.90
  item: piped natural gas (png) commercial supply for cafeteria and boiler
  hsn/sac: 996921 | qty: 5 | rate: inr 3,323.58 | amount: inr 16,617.90

--------------------------------------------------
subtotal / taxable value: inr 173,001.40
igst (18%): inr 31,140.25
total tax amount: inr 31,140.25
grand total (incl. tax): inr 204,141.65
--------------------------------------------------
payment terms: net 30 days | mode: neft/rtgs
bank name: hdfc bank | a/c: 502000744285 | ifsc: hdfc0001234
authorized signatory for torrent power limited commercial
==================================================",Utilities,Torrent Power Limited Commercial,173001.4,204141.65
"==================================================
TAX INVOICE
==================================================
Supplier / Vendor: Mainland China Restaurant
Address: Industrial Area, Gujarat, India
GSTIN: 24MXZWP8254W3ZH | PAN: MXZWP8254W
State / State Code: Gujarat (24)

Invoice No: MAI-61146
Invoice Date: 22/09/2026
Reverse Charge (RCM): No
Place of Supply: Gujarat (24)

Billed To / Recipient:
BillWise Enterprises Private Limited
GSTIN: 27AAACB1234F1Z5
State: Maharashtra (27)

--------------------------------------------------
LINE ITEMS & PARTICULARS
--------------------------------------------------
  Item: Pantry tea, coffee vending machine refills & milk cartons
  HSN/SAC: 996337 | Qty: 8 | Rate: INR 1,603.08 | Amount: INR 12,824.64
  Item: Client dinner & executive catering banquet event buffet 25 pax
  HSN/SAC: 996331 | Qty: 4 | Rate: INR 2,797.45 | Amount: INR 11,189.80

--------------------------------------------------
Subtotal / Taxable Value: INR 24,014.44
CGST (2.5%): INR 600.36
SGST (2.5%): INR 600.36
Total Tax Amount: INR 1,200.72
GRAND TOTAL (INCL. TAX): INR 25,215.16
--------------------------------------------------
Payment Terms: Net 30 Days | Mode: NEFT/RTGS
Bank Name: HDFC Bank | A/C: 502000559901 | IFSC: HDFC0001234
Authorized Signatory for Mainland China Restaurant
==================================================",Food & Entertainment,Mainland China Restaurant,24014.44,25215.16
"==================================================
GST TAX INVOICE
==================================================
Supplier / Vendor: Godrej Pest Control Services
Address: Industrial Area, Delhi, India
GSTIN: 07INGAJ3833N2Z0 | PAN: INGAJ3833N
State / State Code: Delhi (07)

Invoice No: GST/2865/2026
Invoice Date: 09/01/2026
Reverse Charge (RCM): No
Place of Supply: Delhi (07)

Billed To / Recipient:
BillWise Enterprises Private Limited
GSTIN: 27AAACB1234F1Z5
State: Maharashtra (27)

--------------------------------------------------
LINE ITEMS & PARTICULARS
--------------------------------------------------
  Item: Electrical wiring inspection, breaker panel replacement and UPS battery repair
  HSN/SAC: 998712 | Qty: 9 | Rate: INR 1,745.79 | Amount: INR 15,712.11
  Item: Quarterly commercial pest control, termite treatment & fumigation service
  HSN/SAC: 998729 | Qty: 1 | Rate: INR 12,000.00 | Amount: INR 12,000.00
  Item: Commercial RO drinking water plant filter replacement & membrane servicing AMC
  HSN/SAC: 998729 | Qty: 2 | Rate: INR 5,936.52 | Amount: INR 11,873.04

--------------------------------------------------
Subtotal / Taxable Value: INR 39,585.15
IGST (18%): INR 7,125.33
Total Tax Amount: INR 7,125.33
GRAND TOTAL (INCL. TAX): INR 46,710.48
--------------------------------------------------
Payment Terms: Net 30 Days | Mode: NEFT/RTGS
Bank Name: HDFC Bank | A/C: 502000224816 | IFSC: HDFC0001234
Authorized Signatory for Godrej Pest Control Services
==================================================",Repairs & Maintenance,Godrej Pest Control Services,39585.15,46710.48
"==================================================
GST TAX INVOICE
==================================================
Supplier / Vendor: Navneet Education Limited
Address: Industrial Area, Haryana, India
GSTIN: 06ANRCN2422C3Z8 | PAN: ANRCN2422C
State / State Code: Haryana (06)

Invoice No: INV-2026-1405
Invoice Date: 02/12/2026
Reverse Charge (RCM): No
Place of Supply: Haryana (06)

Billed To / Recipient:
BillWise Enterprises Private Limited
GSTIN: 27AAACB1234F1Z5
State: Maharashtra (27)

--------------------------------------------------
LINE ITEMS & PARTICULARS
--------------------------------------------------
  Item: Document filing folders, plastic poly pockets & box files 100 pcs
  HSN/SAC: 392610 | Qty: 5 | Rate: INR 753.84 | Amount: INR 3,769.20
  Item: Executive spiral notebooks, desk organizers, staplers & punch machines
  HSN/SAC: 482010 | Qty: 4 | Rate: INR 1,344.88 | Amount: INR 5,379.52

--------------------------------------------------
Subtotal / Taxable Value: INR 9,148.72
IGST (12%): INR 1,097.85
Total Tax Amount: INR 1,097.85
GRAND TOTAL (INCL. TAX): INR 10,246.57
--------------------------------------------------
Payment Terms: Net 30 Days | Mode: NEFT/RTGS
Bank Name: HDFC Bank | A/C: 502000897648 | IFSC: HDFC0001234
Authorized Signatory for Navneet Education Limited
==================================================",Office Supplies & Stationery,Navneet Education Limited,9148.720000000001,10246.57
"==================================================
TAX INVOICE
==================================================
Supplier / Vendor: Madison World Media Communications
Address: Industrial Area, Karnataka, India
GSTIN: 29CLKZY1348F2Z9 | PAN: CLKZY1348F
State / State Code: Karnataka (29)

Invoice No: INV-2026-1410
Invoice Date: 22/04/2026
Reverse Charge (RCM): No
Place of Supply: Karnataka (29)

Billed To / Recipient:
BillWise Enterprises Private Limited
GSTIN: 27AAACB1234F1Z5
State: Maharashtra (27)

--------------------------------------------------
LINE ITEMS & PARTICULARS
--------------------------------------------------
  Item: LinkedIn sponsored content lead generation campaign for B2B tech outreach
  HSN/SAC: 998361 | Qty: 5 | Rate: INR 11,623.62 | Amount: INR 58,118.10
  Item: Google Ads PPC search campaigns, display network clicks & remarketing
  HSN/SAC: 998361 | Qty: 3 | Rate: INR 22,129.86 | Amount: INR 66,389.58

--------------------------------------------------
Subtotal / Taxable Value: INR 124,507.68
IGST (5%): INR 6,225.38
Total Tax Amount: INR 6,225.38
GRAND TOTAL (INCL. TAX): INR 130,733.06
--------------------------------------------------
Payment Terms: Net 30 Days | Mode: NEFT/RTGS
Bank Name: HDFC Bank | A/C: 502000712123 | IFSC: HDFC0001234
Authorized Signatory for Madison World Media Communications
==================================================",Marketing & Advertising,Madison World Media Communications,124507.68,130733.06
"==================================================
COMMERCIAL TAX INVOICE
==================================================
Supplier / Vendor: Figma Design Platform
Address: Industrial Area, Haryana, India
GSTIN: 06VVFVA7215R4ZU | PAN: VVFVA7215R
State / State Code: Haryana (06)

Invoice No: GST/7918/2026
Invoice Date: 15/01/2026
Reverse Charge (RCM): No
Place of Supply: Haryana (06)

Billed To / Recipient:
BillWise Enterprises Private Limited
GSTIN: 27AAACB1234F1Z5
State: Maharashtra (27)

--------------------------------------------------
LINE ITEMS & PARTICULARS
--------------------------------------------------
  Item: AI Business Intelligence monthly plan - 25 user seats
  HSN/SAC: 998315 | Qty: 4 | Rate: INR 5,863.07 | Amount: INR 23,452.28
  Item: Jira Software Premium & Confluence Cloud Annual Subscription 50 seats
  HSN/SAC: 998315 | Qty: 10 | Rate: INR 11,724.72 | Amount: INR 117,247.20

--------------------------------------------------
Subtotal / Taxable Value: INR 140,699.48
CGST (14.0%): INR 19,697.92
SGST (14.0%): INR 19,697.92
Total Tax Amount: INR 39,395.85
GRAND TOTAL (INCL. TAX): INR 180,095.33
--------------------------------------------------
Payment Terms: Net 30 Days | Mode: NEFT/RTGS
Bank Name: HDFC Bank | A/C: 502000514090 | IFSC: HDFC0001234
Authorized Signatory for Figma Design Platform
==================================================",Software & Subscriptions,Figma Design Platform,140699.47999999998,180095.33
"==================================================
TAX INVOICE
==================================================
Supplier / Vendor: Navneet Education Limited
Address: Industrial Area, West Bengal, India
GSTIN: 19RDIQB6813H4ZK | PAN: RDIQB6813H
State / State Code: West Bengal (19)

Invoice No: NAV-64930
Invoice Date: 18/04/2026
Reverse Charge (RCM): No
Place of Supply: West Bengal (19)

Billed To / Recipient:
BillWise Enterprises Private Limited
GSTIN: 27AAACB1234F1Z5
State: Maharashtra (27)

--------------------------------------------------
LINE ITEMS & PARTICULARS
--------------------------------------------------
  Item: JK Copier A4 Paper 75 GSM 50 Reams bulk box supply
  HSN/SAC: 480256 | Qty: 4 | Rate: INR 3,434.81 | Amount: INR 13,739.24
  Item: Ballpoint pens, permanent markers, sticky notes & document binder clips
  HSN/SAC: 960810 | Qty: 9 | Rate: INR 369.06 | Amount: INR 3,321.54
  Item: Laser printer toner cartridges HP 88A / Canon 337 6 units
  HSN/SAC: 844399 | Qty: 10 | Rate: INR 1,115.57 | Amount: INR 11,155.70

--------------------------------------------------
Subtotal / Taxable Value: INR 28,216.48
IGST (5%): INR 1,410.82
Total Tax Amount: INR 1,410.82
GRAND TOTAL (INCL. TAX): INR 29,627.30
--------------------------------------------------
Payment Terms: Net 30 Days | Mode: NEFT/RTGS
Bank Name: HDFC Bank | A/C: 502000147568 | IFSC: HDFC0001234
Authorized Signatory for Navneet Education Limited
==================================================",Office Supplies & Stationery,Navneet Education Limited,28216.48,29627.3
"==================================================
GST TAX INVOICE
==================================================
Supplier / Vendor: Hetzner Online Compute Services
Address: Industrial Area, Gujarat, India
GSTIN: 24GJHUF7923R3ZM | PAN: GJHUF7923R
State / State Code: Gujarat (24)

Invoice No: GST/1186/2026
Invoice Date: 15/02/2026
Reverse Charge (RCM): No
Place of Supply: Gujarat (24)

Billed To / Recipient:
BillWise Enterprises Private Limited
GSTIN: 27AAACB1234F1Z5
State: Maharashtra (27)

--------------------------------------------------
LINE ITEMS & PARTICULARS
--------------------------------------------------
  Item: Google Cloud Platform BigQuery analytics slots and Cloud Storage egress
  HSN/SAC: 998313 | Qty: 6 | Rate: INR 11,814.62 | Amount: INR 70,887.72

--------------------------------------------------
Subtotal / Taxable Value: INR 70,887.72
IGST (18%): INR 12,759.79
Total Tax Amount: INR 12,759.79
GRAND TOTAL (INCL. TAX): INR 83,647.51
--------------------------------------------------
Payment Terms: Net 30 Days | Mode: NEFT/RTGS
Bank Name: HDFC Bank | A/C: 502000389618 | IFSC: HDFC0001234
Authorized Signatory for Hetzner Online Compute Services
==================================================",Cloud Infrastructure,Hetzner Online Compute Services,70887.72,83647.51
"==================================================
GST TAX INVOICE
==================================================
Supplier / Vendor: Ola Cabs Corporate Rides
Address: Industrial Area, Telangana, India
GSTIN: 36WYFGG8636I1ZI | PAN: WYFGG8636I
State / State Code: Telangana (36)

Invoice No: OLA-36106
Invoice Date: 05/11/2026
Reverse Charge (RCM): No
Place of Supply: Telangana (36)

Billed To / Recipient:
BillWise Enterprises Private Limited
GSTIN: 27AAACB1234F1Z5
State: Maharashtra (27)

--------------------------------------------------
LINE ITEMS & PARTICULARS
--------------------------------------------------
  Item: Corporate Uber for Business monthly taxi cab rides employee travel
  HSN/SAC: 996412 | Qty: 1 | Rate: INR 18,200.00 | Amount: INR 18,200.00
  Item: Corporate travel agency ticketing booking fee and visa processing fee
  HSN/SAC: 996411 | Qty: 1 | Rate: INR 4,200.00 | Amount: INR 4,200.00

--------------------------------------------------
Subtotal / Taxable Value: INR 22,400.00
IGST (28%): INR 6,272.00
Total Tax Amount: INR 6,272.00
GRAND TOTAL (INCL. TAX): INR 28,672.00
--------------------------------------------------
Payment Terms: Net 30 Days | Mode: NEFT/RTGS
Bank Name: HDFC Bank | A/C: 502000291370 | IFSC: HDFC0001234
Authorized Signatory for Ola Cabs Corporate Rides
==================================================",Travel & Conveyance,Ola Cabs Corporate Rides,22400.0,28672.0
"==================================================
GST TAX INVOICE
==================================================
Supplier / Vendor: Blue Star Air Conditioning Maintenance
Address: Industrial Area, Haryana, India
GSTIN: 06JZMPA1498R1Z2 | PAN: JZMPA1498R
State / State Code: Haryana (06)

Invoice No: BLU-63845
Invoice Date: 10/05/2026
Reverse Charge (RCM): No
Place of Supply: Haryana (06)

Billed To / Recipient:
BillWise Enterprises Private Limited
GSTIN: 27AAACB1234F1Z5
State: Maharashtra (27)

--------------------------------------------------
LINE ITEMS & PARTICULARS
--------------------------------------------------
  Item: Passenger passenger lift / elevator preventive monthly maintenance service
  HSN/SAC: 998713 | Qty: 9 | Rate: INR 2,110.60 | Amount: INR 18,995.40
  Item: Commercial RO drinking water plant filter replacement & membrane servicing AMC
  HSN/SAC: 998729 | Qty: 7 | Rate: INR 1,576.23 | Amount: INR 11,033.61

--------------------------------------------------
Subtotal / Taxable Value: INR 30,029.01
CGST (9.0%): INR 2,702.61
SGST (9.0%): INR 2,702.61
Total Tax Amount: INR 5,405.22
GRAND TOTAL (INCL. TAX): INR 35,434.23
--------------------------------------------------
Payment Terms: Net 30 Days | Mode: NEFT/RTGS
Bank Name: HDFC Bank | A/C: 502000781407 | IFSC: HDFC0001234
Authorized Signatory for Blue Star Air Conditioning Maintenance
==================================================",Repairs & Maintenance,Blue Star Air Conditioning Maintenance,30029.010000000002,35434.23
"==================================================
commercial tax invoice
==================================================
supplier / vendor: national logistics & freight solutions
address: industrial area, gujarat, india
gstin: 24xrbsg4078q2zm | pan: xrbsg4078q
state / state code: gujarat (24)

invoice no: inv-2026-6021
invoice date: 03/03/2026
reverse charge (rcm): yes
place of supply: gujarat (24)

billed to / recipient:
billwise enterprises private limited
gstin: 27aaacb1234f1z5
state: maharashtra (27)

--------------------------------------------------
line items & particulars
--------------------------------------------------
  item: goods transport agency charges for north zone delivery full truck load
  hsn/sac: 996511 | qty: 1 | rate: inr 28,500.00 | amount: inr 28,500.00

--------------------------------------------------
subtotal / taxable value: inr 28,500.00
igst (18%): inr 5,130.00
total tax amount: inr 5,130.00
grand total (incl. tax): inr 33,630.00
--------------------------------------------------
payment terms: net 30 days | mode: neft/rtgs
bank name: hdfc bank | a/c: 502000345591 | ifsc: hdfc0001234
authorized signatory for national logistics & freight solutions
==================================================",Freight & Transport,National Logistics & Freight Solutions,28500.0,33630.0
"==================================================
COMMERCIAL TAX INVOICE
==================================================
Supplier / Vendor: Jindal Steel & Alloys Ltd
Address: Industrial Area, Telangana, India
GSTIN: 36FULCN3974Y3Z0 | PAN: FULCN3974Y
State / State Code: Telangana (36)

Invoice No: TAX/26-26/772
Invoice Date: 10/08/2026
Reverse Charge (RCM): No
Place of Supply: Telangana (36)

Billed To / Recipient:
BillWise Enterprises Private Limited
GSTIN: 27AAACB1234F1Z5
State: Maharashtra (27)

--------------------------------------------------
LINE ITEMS & PARTICULARS
--------------------------------------------------
  Item: Copper wire rods 8mm electrolytic tough pitch
  HSN/SAC: 7408 | Qty: 7 | Rate: INR 27,583.42 | Amount: INR 193,083.94
  Item: Industrial Sulphuric Acid 98% commercial grade 2000L
  HSN/SAC: 2804 | Qty: 4 | Rate: INR 11,852.86 | Amount: INR 47,411.44

--------------------------------------------------
Subtotal / Taxable Value: INR 240,495.38
IGST (12%): INR 28,859.45
Total Tax Amount: INR 28,859.45
GRAND TOTAL (INCL. TAX): INR 269,354.83
--------------------------------------------------
Payment Terms: Net 30 Days | Mode: NEFT/RTGS
Bank Name: HDFC Bank | A/C: 502000300874 | IFSC: HDFC0001234
Authorized Signatory for Jindal Steel & Alloys Ltd
==================================================",Raw Materials,Jindal Steel & Alloys Ltd,240495.38,269354.83
